nbeval fitness
500 27685
500 28740
500 28340
500 27765
500 27842
500 28084
500 27744
500 28467
500 28095
500 28282
500 27967
500 28047
500 27642
500 28214
500 27939
500 27797
500 27942
500 28272
500 27888
500 27849
500 28158
500 28057
500 28572
500 28127
500 28468
500 28053
500 28552
500 28124
500 28368
500 28244
1000 28049
1000 28275
1000 28163
1000 28181
1000 28847
1000 28377
1000 28468
1000 29287
1000 28329
1000 28098
1000 28622
1000 28370
1000 27681
1000 28228
1000 28282
1000 28415
1000 28602
1000 28336
1000 28420
1000 28811
1000 28407
1000 28041
1000 28160
1000 28176
1000 28738
1000 27911
1000 28378
1000 28234
1000 28224
1000 28061
2000 28043
2000 28324
2000 28484
2000 28966
2000 28699
2000 28436
2000 28971
2000 28454
2000 27963
2000 28536
2000 29503
2000 28400
2000 28204
2000 28533
2000 28367
2000 28142
2000 28187
2000 29266
2000 28098
2000 28400
2000 28449
2000 28678
2000 28602
2000 28571
2000 28662
2000 28194
2000 28628
2000 29198
2000 28763
2000 28228
4000 28491
4000 28765
4000 28956
4000 28545
4000 28873
4000 29611
4000 28627
4000 28418
4000 28469
4000 28638
4000 28692
4000 28811
4000 28688
4000 28478
4000 28953
4000 28482
4000 29174
4000 28620
4000 29094
4000 28372
4000 28762
4000 29056
4000 28563
4000 28281
4000 28925
4000 28660
4000 28422
4000 28748
4000 28559
4000 28457
8000 28686
8000 28772
8000 28439
8000 28626
8000 28550
8000 28998
8000 28409
8000 28987
8000 28775
8000 30088
8000 28725
8000 28460
8000 28976
8000 28606
8000 28884
8000 28834
8000 29089
8000 28702
8000 28476
8000 29256
8000 28643
8000 28663
8000 28651
8000 28921
8000 28988
8000 28775
8000 28685
8000 28745
8000 28979
8000 28661
16000 29208
16000 29260
16000 28862
16000 28845
16000 28990
16000 29010
16000 29436
16000 29198
16000 29069
16000 28956
16000 28977
16000 29148
16000 29033
16000 29023
16000 29669
16000 29156
16000 29459
16000 29066
16000 28841
16000 28690
16000 29732
16000 29140
16000 29042
16000 29060
16000 28849
16000 28824
16000 28875
16000 29014
16000 28803
16000 28870
32000 29077
32000 29042
32000 28870
32000 29187
32000 29397
32000 29177
32000 28886
32000 29235
32000 28825
32000 29090
32000 28890
32000 29220
32000 28890
32000 29092
32000 28922
32000 28881
32000 29017
32000 29242
32000 29564
32000 29083
32000 29119
32000 28954
32000 29339
32000 29356
32000 29091
32000 29098
32000 29187
32000 29240
32000 29161
32000 29074
