nbeval fitness
1969 36309.0
2400 35222.0
1646 35802.0
931 35343.0
1497 36091.0
1612 35725.0
2614 36580.0
2100 35101.0
1642 35146.0
2372 36292.0
2281 35729.0
1446 35040.0
1854 36332.0
1491 33922.0
1604 35987.0
1826 36161.0
1660 35248.0
1724 36184.0
1012 34831.0
1486 36029.0
1714 35467.0
2732 34768.0
1760 35293.0
1490 34936.0
1253 34779.0
1251 35933.0
776 35171.0
2018 35614.0
1856 36422.0
1614 36861.0
2646 35778.0
1661 34942.0
1138 35862.0
1598 35643.0
1520 35123.0
2014 35461.0
1486 35644.0
915 35173.0
1095 35205.0
1723 35224.0
1645 35812.0
1754 34010.0
1506 35998.0
1751 35237.0
1663 35122.0
2281 36584.0
1544 35879.0
1549 35262.0
1996 35661.0
904 34868.0
1786 36644.0
1276 35397.0
1549 34951.0
1561 36010.0
2001 35682.0
2396 35716.0
1534 35621.0
1767 35502.0
1614 36136.0
1706 35325.0
1951 36024.0
1387 35531.0
1052 35555.0
1671 34922.0
2418 34831.0
2255 35571.0
1561 35787.0
798 35197.0
2344 36284.0
1496 35393.0
2637 36618.0
1634 35564.0
1550 36883.0
1438 36098.0
2106 36800.0
2290 36177.0
953 36501.0
1611 34873.0
1562 35369.0
1957 35060.0
1511 35149.0
1703 35379.0
1871 35887.0
2182 35407.0
1775 35740.0
1650 35674.0
630 35556.0
1755 35254.0
1113 34980.0
1958 35330.0
1412 35485.0
1616 34996.0
1754 35767.0
931 35495.0
1583 35802.0
2276 35035.0
2002 34744.0
766 35235.0
1436 35198.0
1952 36307.0
1929 36438.0
2532 35949.0
1584 35915.0
1846 36491.0
1815 35380.0
1502 35807.0
811 34715.0
1767 35423.0
987 35113.0
1476 34795.0
844 35533.0
1585 35055.0
2008 36741.0
1623 35174.0
2115 35303.0
1490 35582.0
1094 35094.0
2423 35249.0
1641 35278.0
2066 35574.0
1578 35519.0
1789 34762.0
1916 35711.0
2030 35014.0
1552 34931.0
1764 34996.0
1896 35350.0
2532 35919.0
1994 36057.0
880 35735.0
2096 36231.0
2069 35377.0
1670 34259.0
2351 35744.0
1609 36253.0
1638 34645.0
1791 35336.0
1765 36032.0
1375 35582.0
1009 35033.0
2083 36176.0
2290 35359.0
815 36729.0
2162 35119.0
1521 35813.0
1799 35147.0
553 35329.0
1256 36046.0
1673 35127.0
1551 35677.0
1564 36286.0
2287 37064.0
1523 35765.0
1307 35261.0
1866 36744.0
1666 34663.0
2369 35004.0
2079 35560.0
2638 35781.0
561 35564.0
2133 35789.0
1587 35909.0
2236 35854.0
1577 34599.0
1594 36000.0
2025 34994.0
1607 35318.0
1494 35686.0
2055 35189.0
1386 35230.0
1058 35255.0
2535 35538.0
1776 36119.0
1694 35122.0
1676 35270.0
1146 36702.0
1644 35611.0
1534 34778.0
1668 35946.0
1632 35834.0
2099 36033.0
1675 34815.0
1266 36416.0
1620 35308.0
738 35741.0
2401 35668.0
708 35370.0
1944 36680.0
1003 35499.0
2827 36503.0
1576 35994.0
1595 36022.0
772 36728.0
1581 35053.0
2742 36540.0
1456 34526.0
2439 35841.0
2220 35334.0
1988 35172.0
2026 35636.0
1893 36397.0
1779 36203.0
1827 35707.0
1834 36642.0
1141 36765.0
1547 34893.0
2237 35536.0
942 35369.0
829 36255.0
1860 35119.0
2145 36515.0
1615 35176.0
1456 33958.0
1529 35967.0
1422 34564.0
776 35387.0
1861 35370.0
2122 36151.0
1849 35878.0
1796 34848.0
2005 35434.0
2238 35056.0
1850 34901.0
1889 35477.0
1716 36381.0
1695 35092.0
1260 36117.0
2268 35827.0
1727 35032.0
760 36429.0
1329 35707.0
1512 35128.0
1694 35959.0
2345 35460.0
1952 35396.0
1679 35604.0
2110 35539.0
1672 35934.0
2102 35641.0
2131 36166.0
1527 35498.0
2460 35878.0
2542 36547.0
